codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca
5703003,DGA,dga_web,Rio Yeso Antes Junta Rio Maipo,1250,-33.7864,-70.2117,57.0,Rio Maipo,570.0,Rio Maipo Alto (Hasta Despues Junta Rio Colorado)
5703004,DGA,dga_web,Rio Yeso En Manzanito,0,-33.7525,-70.1611,57.0,Rio Maipo,570.0,Rio Maipo Alto (Hasta Despues Junta Rio Colorado)
5703006,DGA,dga_web,Estero Glaciar Echaurren,3000,-33.5847,-70.1161,57.0,Rio Maipo,570.0,Rio Maipo Alto (Hasta Despues Junta Rio Colorado)
5703008,DGA,dga_web,El Yeso Embalse,2475,-33.6767,-70.0886,57.0,Rio Maipo,570.0,Rio Maipo Alto
5703009,DGA,dga_web,Laguna Negra,2780,-33.6658,-70.1078,57.0,Rio Maipo,570.0,Rio Maipo Alto (Hasta Despues Junta Rio Colorado)
5703011,DGA,dga_web,Glaciar Echaurren,3850,-33.5722,-70.1283,57.0,Rio Maipo,570.0,Rio Maipo Alto (Hasta Despues Junta Rio Colorado)
5704001,DGA,dga_web,Rio Maipo En El Ingenio,0,-33.7667,-70.2667,57.0,Rio Maipo,570.0,Rio Maipo Alto (Hasta Despues Junta Rio Colorado)
5704002,DGA,dga_web,Rio Maipo En San Alfonso,1092,-33.7347,-70.3008,57.0,Rio Maipo,570.0,Rio Maipo Alto
5704004,DGA,dga_web,San Gabriel,1266,-33.7825,-70.2394,57.0,Rio Maipo,570.0,Rio Maipo Alto
5704005,DGA,dga_web,San Alfonso,1040,-33.7067,-70.3342,57.0,Rio Maipo,570.0,Rio Maipo Alto
5704006,DGA,dga_web,San Jose De Maipo Reten,943,-33.6361,-70.3531,57.0,Rio Maipo,570.0,Rio Maipo Alto
5705001,DGA,dga_web,Rio Colorado Antes Junta Rio Olivares,1500,-33.49,-70.1342,57.0,Rio Maipo,570.0,Rio Maipo Alto
5705002,DGA,dga_web,Canal Queltehue,3080,-33.8783,-70.1978,57.0,Rio Maipo,570.0,Rio Maipo Alto (Hasta Despues Junta Rio Colorado)
5706001,DGA,dga_web,Rio Olivares Antes Junta Rio Colorado,1500,-33.4878,-70.1367,57.0,Rio Maipo,570.0,Rio Maipo Alto
5706003,DGA,dga_web,Valle Olivares,2787,-33.1869,-70.1122,57.0,Rio Maipo,570.0,Rio Maipo Alto
5707001,DGA,dga_web,Rio Colorado En Maitenes,0,-33.5264,-70.2664,57.0,Rio Maipo,570.0,Rio Maipo Alto (Hasta Despues Junta Rio Colorado)
5707002,DGA,dga_web,Rio Colorado Antes Junta Rio Maipo,890,-33.5875,-70.3669,57.0,Rio Maipo,570.0,Rio Maipo Alto (Hasta Despues Junta Rio Colorado)
5707003,DGA,dga_web,Maitenes Bocatoma,1143,-33.5311,-70.2617,57.0,Rio Maipo,570.0,Rio Maipo Alto
5710001,DGA,dga_web,Rio Maipo En El Manzano,850,-33.5939,-70.3792,57.0,Rio Maipo,571.0,Rio Maipo Medio
5710002,DGA,dga_web,Rio Maipo En El Canelo,0,-33.5747,-70.4397,57.0,Rio Maipo,571.0,Rio Maipo Medio (Despues Colorado Antes Mapocho)
