codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,pais,region
1610001,DGA,dga_web,Quebrada Camigna En Umigna,2580,-19.2,-69.3333,16.0,Costeras R.Camarones-Pampa Del Tamarugal,161.0,Quebrada De Camina,Chile,Región de Tarapacá
1610002,DGA,dga_web,Quebrada CamiÑA En Altusa,2280,-19.2958,-69.3886,16.0,Costeras R.Camarones-Pampa Del Tamarugal,161.0,Quebrada De Camina,Chile,Región de Tarapacá
1610003,DGA,dga_web,Pumire,4150,-19.0953,-69.1108,16.0,Costeras R.Camarones-Pampa Del Tamarugal,161.0,Quebrada De Camina,Chile,Región de Tarapacá
1610004,DGA,dga_web,Q. Camia 3 Km. A. Arriba De Tarcavire,3848,-19.1181,-69.2447,16.0,Costeras R.Camarones-Pampa Del Tamarugal,161.0,Quebrada De Camina,Chile,Región de Tarapacá
1611001,DGA,dga_web,Camia,2500,-19.3136,-69.4172,16.0,Costeras R.Camarones-Pampa Del Tamarugal,161.0,Quebrada De Camina,Chile,Región de Tarapacá
1611002,DGA,dga_web,Apamilca (Camia),2600,-19.2967,-69.3867,16.0,Costeras R.Camarones-Pampa Del Tamarugal,161.0,Quebrada De Camina,Chile,Región de Tarapacá
1700008,DGA,dga_web,Esmeralda,1115,-20.4842,-69.3814,17.0,Pampa Del Tamarugal,170.0,Pampa Del Tamarugal,Chile,Región de Tarapacá
1700009,DGA,dga_web,Coposa,3760,-20.7086,-68.6942,17.0,Pampa Del Tamarugal,170.0,Pampa Del Tamarugal,Chile,Región de Tarapacá
1700010,DGA,dga_web,Huara En Fuerte Baquedano,1100,-20.1308,-69.7497,17.0,Pampa Del Tamarugal,170.0,Pampa Del Tamarugal,Chile,Región de Tarapacá
1710001,DGA,dga_web,Quebrada Camigna En Pacagua,0,-19.5667,-69.65,17.0,Pampa Del Tamarugal,171.0,Quebrada De Boga,Chile,Región de Tarapacá
1720001,DGA,dga_web,Rio Aroma En Alagnusca,0,-19.7419,-69.6381,17.0,Pampa Del Tamarugal,172.0,Quebrada De Aroma,Chile,Región de Tarapacá
1720004,DGA,dga_web,Puchultiza,4300,-19.4136,-68.9422,17.0,Pampa Del Tamarugal,172.0,Quebrada De Aroma,Chile,Región de Tarapacá
1720006,DGA,dga_web,Chiapa,3155,-19.5369,-69.205,17.0,Pampa Del Tamarugal,172.0,Quebrada De Aroma,Chile,Región de Tarapacá
1730001,DGA,dga_web,Rio Coscaya En Pampa Lirima,3540,-19.8764,-68.9592,17.0,Pampa Del Tamarugal,173.0,Quebrada De Tarapaca,Chile,Región de Tarapacá
1730002,DGA,dga_web,Rio Tarapaca En Mina San Juan,0,-19.8297,-69.2869,17.0,Pampa Del Tamarugal,173.0,Quebrada De Tarapaca,Chile,Región de Tarapacá
1730003,DGA,dga_web,Rio Coscaya En Saitoco,0,-19.8642,-68.9297,17.0,Pampa Del Tamarugal,173.0,Quebrada De Tarapaca,Chile,Región de Tarapacá
1730004,DGA,dga_web,Quebrada Tarapaca En Mulli-Mulli,0,-19.7256,-69.0253,17.0,Pampa Del Tamarugal,173.0,Quebrada De Tarapaca,Chile,Región de Tarapacá
1730005,DGA,dga_web,Quebrada Tarapaca En Pachica,0,-19.8661,-69.4433,17.0,Pampa Del Tamarugal,173.0,Quebrada De Tarapaca,Chile,Región de Tarapacá
1730006,DGA,dga_web,Quebrada Tarapaca En Mocha,0,-19.8044,-69.2692,17.0,Pampa Del Tamarugal,173.0,Quebrada De Tarapaca,Chile,Región de Tarapacá
1730007,DGA,dga_web,Q. Tarapaca En Sibaya,2830,-19.7831,-69.1433,17.0,Pampa Del Tamarugal,173.0,Quebrada De Tarapaca,Chile,Región de Tarapacá
1730008,DGA,dga_web,Quebrada Tarapaca En Puchurca,0,-19.85,-69.3167,17.0,Pampa Del Tamarugal,173.0,Quebrada De Tarapaca,Chile,Región de Tarapacá
1730009,DGA,dga_web,Quebrada Aroma En Palca,0,-19.7,-68.9083,17.0,Pampa Del Tamarugal,173.0,Quebrada De Tarapaca,Chile,Región de Tarapacá
1730012,DGA,dga_web,Q. Tarapaca En Laonsana,1847,-19.8531,-69.3442,17.0,Pampa Del Tamarugal,173.0,Quebrada De Tarapaca,Chile,Región de Tarapacá
1730015,DGA,dga_web,Pampa Lirima Dcp,5100,-19.7653,-68.8581,17.0,Pampa Del Tamarugal,173.0,Quebrada De Tarapaca,Chile,Región de Tarapacá
1730016,DGA,dga_web,Pampa Lirima,4076,-19.8472,-68.8544,17.0,Pampa Del Tamarugal,173.0,Quebrada De Tarapaca,Chile,Región de Tarapacá
1730017,DGA,dga_web,Poroma,2880,-19.8719,-69.1831,17.0,Pampa Del Tamarugal,173.0,Quebrada De Tarapaca,Chile,Región de Tarapacá
1730018,DGA,dga_web,Lagunillas (Pampa Lirima),4020,-19.9333,-68.8369,17.0,Pampa Del Tamarugal,173.0,Quebrada De Tarapaca,Chile,Región de Tarapacá
1730019,DGA,dga_web,Mocha,2150,-19.8097,-69.2731,17.0,Pampa Del Tamarugal,173.0,Quebrada De Tarapaca,Chile,Región de Tarapacá
1730020,DGA,dga_web,Chuzmiza,3400,-19.6831,-69.1833,17.0,Pampa Del Tamarugal,173.0,Quebrada De Tarapaca,Chile,Región de Tarapacá
1740001,DGA,dga_web,Parca,2650,-20.0122,-69.2033,17.0,Pampa Del Tamarugal,174.0,Quebrada De Quipisca,Chile,Región de Tarapacá
